Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
Grammica,C_compacta,1566,f,NPQ,0.21524454366666668,9,0.24517973546923852
Grammica,C_compacta,1566,f,X1.qP,0.9055747694,5,0.06722658876704932
Grammica,C_compacta,1566,s,Fo,0.10456666666666667,3,0.012633421283774765
Grammica,C_compacta,1566,s,Fm,0.2838,1,NA
Grammica,C_compacta,1566,s,Ft,0.1309,1,NA
Grammica,C_compacta,1566,s,Fo.,0.082676798,2,0.01061536842767136
Grammica,C_compacta,1566,s,Fv.Fm,0.5495745683333333,3,0.03471681370186171
Grammica,C_compacta,1566,s,φPSII,0.15522975125,4,0.024961525069509966
Grammica,C_compacta,1566,s,ΦNPQ,0.30571697400000003,4,0.0892736019932876
Grammica,C_compacta,1566,s,Φf.D,0.53905327475,4,0.1022368506124217
Grammica,C_compacta,1566,s,NPQ,0.6005184715,4,0.23561787569684134
Grammica,C_compacta,1566,s,X1.qP,0.5851789495,4,0.0725758988533079
Grammica,C_costaricensis,CUCO,sdlg,Fo,0.0735,1,NA
Grammica,C_costaricensis,CUCO,sdlg,Fm,0.2686,1,NA
Grammica,C_costaricensis,CUCO,sdlg,Ft,0.0691,1,NA
Grammica,C_costaricensis,CUCO,sdlg,Fo.,0.050041424,1,NA
Grammica,C_costaricensis,CUCO,sdlg,Fv.Fm,0.726358898,1,NA
Grammica,C_costaricensis,CUCO,sdlg,φPSII,0.302020202,1,NA
Grammica,C_costaricensis,CUCO,sdlg,ΦNPQ,0.440719932,1,NA
Grammica,C_costaricensis,CUCO,sdlg,Φf.D,0.257259866,1,NA
Grammica,C_costaricensis,CUCO,sdlg,NPQ,1.713131313,1,NA
Grammica,C_costaricensis,CUCO,sdlg,X1.qP,0.389279622,1,NA
Grammica,C_costaricensis,CUCO,y,Fo,0.016535714285714286,14,0.008685939756327431
Grammica,C_costaricensis,CUCO,y,Fm,0.037578571428571426,14,0.02462075980116806
